siren,date_cloture_exercice,default_event,DV,GW,CJ,CK,CO,EE,GF,CG,DL,GP,GU,DX,GG,1A,CF,HN,FW,BM,DY,FS,BY,GA,EA,FV,FZ,HE,DU,BL,FP,FY,FU,FT,FX,FJ,FL,BU,BX,BJ,BK,BT,FC,CHIFFRE_AFFAIRE,RESULTAT_FINANCIER,TOTAL_ACTIF,EXPORT,ACTIF_IMMO,CP,ratio_marge_commerciale,ratio_marge_exploitation,ratio_marge_nette,ratio_duree_credit_client_jours,ratio_duree_credit_fournisseur_jours,ratio_taux_exportation,ratio_actif_immo_sur_ca
434956348,2018-03-31,1,11354,-27281,35840,0,449718,158078,431653,0,64030,1296.5,1130,15560,-26151,291640,6413,-23710,92232,0,16580,4352,0,19914,0,1461,34121,495,50555,5768,10781,137648,138534,-1635,3987,376809,376809,0,5506,413878,291640,2836,376809,376809,166.5,158078,0,122238,64030,0.9717376207323836,-0.069401208569859,-0.06292312550921024,4.444537329699308,20.12960867876272,0,0.3244030795442784
435016589,2017-12-31,0,279818,7444,189910,0,2239317,1426573,1608979,0,307935,127121,12219,186317,-107458,812744,6201,6640,777478,0,78796,18488,0,189091,10000,2374,78350,10000,563707,6711,47047,267913,157962,-32,29918,0,1448356,0,36820,2049407,812744,2983,50192,1448356,44453,1426573,1254310,1236663,307935,0.6322919987248964,-0.0741930851254802,0.00458450822863992,7.732502690406687,59.408488725913635,1,0.8538391113786942
435016589,2018-12-31,0,108992,35014,106615,0,2135890,1142251,1584250,0,318379,133425,8984,186132,-89427,993640,6287,10444,803949,0,53260,19617,0,182250,28000,1665,74815,18380,447488,5046,25326,250579,136019,-3145,31134,0,1466588,0,35022,2029275,993640,6128,40683,1466588,44453,1142250,1254310,1035635,318379,0.5951134380453752,-0.06097622508843656,0.007121291051065466,7.263474813649096,58.999619627234686,1,0.7061526481874937
435016589,2019-12-31,0,333626,6698,296228,0,2263135,1097645,1583023,0,218971,160129,7271,140408,-146160,1165491,72058,593,835716,0,36744,15794,0,171851,38000,-3162,71475,10588,329896,8209,21469,241012,138365,3709,26779,0,1414177,0,126556,1966908,1165491,2419,34414,1414177,44453,1097644,1254310,801417,218971,0.43328296623467194,-0.10335339918553335,4.193251622675238e-4,27.220154667107913,43.14426905754094,1,0.5667020464906444
435016589,2020-12-31,0,246379,-230636,155769,693,2171116,854261,1125473,0,-1360,167370,5922,208174,-448656,1316855,25841,-220331,670559,0,38160,7230,693,159019,10000,819,25241,23,352908,7390,11732,147108,59404,224,16400,0,647282,0,3938,2015348,1316162,2195,15708,647282,44453,854261,647282,699186,-1360,0.5254647313470843,-0.6105133906279931,-0.34039414042102206,1.5248698918451824,85.89282815581085,1,1.080187615289781
435016589,2021-12-31,0,294404,-138177,200006,1213,2093327,643162,1208985,0,-139537,121565,5549,72544,-254194,1450165,92197,-138177,681561,0,55739,10533,1213,132790,10000,-3047,30289,0,350013,10437,11597,211517,73319,-287,22046,794749,794749,0,33198,1893321,1448952,2482,25719,794749,44453,643162,0,444369,-139537,0.6016174812395505,-0.3198418620218459,-0.17386243958784472,12.241312456301719,28.82818382581256,0,0.5591312477272699
435040845,2017-12-31,0,3542823,-19014,580641,317,10193102,4394744,4981895,0,-273238,2119,35532,736517,14398,5798357,240983,-23471,2257661,0,246978,52468,317,438856,1118,597,309906,3466,908,19241,97015,951158,454418,630,227609,4875840,4875840,0,96089,9612461,5798040,5802,170394,4875840,-33413,4394745,0,3814421,-273238,0.6883810462809723,0.002952927085384262,-0.00481373465905362,5.974488498392072,81.03458571452514,0,0.7823105352103432
435040845,2018-12-31,0,3286136,-107488,528092,2880,10226635,4023080,5078323,0,-372584,2773,37910,638487,-72351,6203555,133384,-99346,2290671,0,258173,61268,2880,425199,287,5238,329590,8,908,14002,71615,962373,465905,-3486,238556,4923730,4923730,0,154449,9698543,6200674,9289,162869,4923730,-35137,4023080,0,3497869,-372584,0.6452240757909731,-0.014694347577954112,-0.02017697964754363,9.363274895252177,68.92023209943488,0,0.7104104002453424
435040845,2019-12-31,0,3248119,-273646,397641,387,10068811,3587414,5099025,0,-646628,1446,33655,481041,-241437,6481397,106715,-274044,2165947,0,315275,64955,387,400847,0,-7757,379500,1467,1151,21760,104499,1128233,394138,628,282881,4747195,4747195,0,116740,9671170,6481010,8660,166896,4747195,-32209,3587414,0,3190160,-646628,0.6070427092320967,-0.05085887560970215,-0.057727563329503004,7.455076980546758,55.73882207509219,0,0.6720094708559475
435040845,2020-12-31,0,4919898,-1642373,362821,2101,9172157,3166288,3029916,0,-2370703,33361,85818,177245,-1589916,6005869,4383,-1724074,1022566,0,293880,20749,2101,358313,4760,926,215304,2126,28506,20833,138799,976097,129673,953,186199,1296105,1296105,0,9458,8809336,6003768,7707,42914,1296105,-52457,3166288,0,2805568,-2370703,0.49429090739618775,-0.6105133906279931,-0.6310501543413201,1.726522285360111,45.96127226649662,0,2.164614749576616
