siren,date_jugement,nature_jugement
302113774,2021-10-14,Jugement d'ouverture de liquidation judiciaire
302114764,2018-05-31,Jugement d'ouverture de liquidation judiciaire
302116199,2018-07-03,Jugement d'ouverture d'une procédure de redressement judiciaire
302123294,2018-07-16,Jugement d'ouverture d'une procédure de redressement judiciaire
302134663,2020-02-04,Jugement d'ouverture de liquidation judiciaire
302178793,2018-10-29,Jugement d'ouverture d'une procédure de redressement judiciaire
302183264,2017-10-18,Jugement d'ouverture d'une procédure de redressement judiciaire
302209267,2019-04-16,Jugement d'ouverture de liquidation judiciaire
302210539,2017-09-05,Jugement d'ouverture de liquidation judiciaire
302220843,2019-12-02,Jugement d'ouverture de liquidation judiciaire
302220959,2020-01-06,Jugement d'ouverture de liquidation judiciaire
302237912,2019-06-11,Jugement d'ouverture d'une procédure de redressement judiciaire
302238837,2019-04-01,Jugement d'ouverture d'une procédure de redressement judiciaire
302262514,2017-06-28,Jugement d'ouverture de liquidation judiciaire
302264619,2017-02-02,Jugement d'ouverture d'une procédure de redressement judiciaire
302267471,2019-06-25,Jugement d'ouverture de liquidation judiciaire
302289798,2020-03-12,Jugement d'ouverture de liquidation judiciaire
302330121,2019-11-28,Jugement d'ouverture d'une procédure de redressement judiciaire
302333497,2018-03-19,Jugement d'ouverture d'une procédure de sauvegarde
302338488,2017-08-07,Jugement d'ouverture de liquidation judiciaire
302345558,2017-03-16,Jugement d'ouverture de liquidation judiciaire
302382890,2017-12-01,Jugement d'ouverture d'une procédure de redressement judiciaire
302409347,2021-02-17,Jugement d'ouverture de liquidation judiciaire
302450911,2021-11-02,Jugement d'ouverture d'une procédure de redressement judiciaire
302452065,2017-07-11,Jugement d'ouverture de liquidation judiciaire
302456256,2019-05-06,Jugement d'ouverture d'une procédure de redressement judiciaire
302474390,2017-02-01,Jugement d'ouverture de liquidation judiciaire
302480330,2021-09-21,Jugement d'ouverture de liquidation judiciaire
302495080,2019-01-29,Jugement d'ouverture d'une procédure de redressement judiciaire
302507249,2019-11-13,Jugement d'ouverture de liquidation judiciaire
302508874,2019-12-13,Jugement d'ouverture de liquidation judiciaire
302509815,2019-02-06,Jugement d'ouverture de liquidation judiciaire
302555107,2019-11-27,Jugement d'ouverture de liquidation judiciaire
302555966,2019-04-15,Jugement d'ouverture d'une procédure de redressement judiciaire
302557616,2017-10-20,Jugement d'ouverture d'une procédure de redressement judiciaire
302665567,2018-01-08,Jugement d'ouverture d'une procédure de redressement judiciaire
302696612,2019-06-05,Jugement d'ouverture d'une procédure de redressement judiciaire
302714217,2018-08-16,Jugement d'ouverture de liquidation judiciaire
302714423,2018-12-10,Jugement d'ouverture d'une procédure de redressement judiciaire
302861331,2017-07-05,Jugement d'ouverture de liquidation judiciaire
302902838,2018-09-11,Jugement d'ouverture de liquidation judiciaire
302969522,2018-05-16,Jugement d'ouverture d'une procédure de redressement judiciaire
303095194,2017-09-08,Jugement d'ouverture d'une procédure de sauvegarde
303116537,2020-11-19,Jugement d'ouverture de liquidation judiciaire
303119564,2017-10-20,Jugement d'ouverture d'une procédure de redressement judiciaire
303120646,2017-10-06,Jugement d'ouverture d'une procédure de sauvegarde
303120646,2017-10-06,Jugement d'ouverture d'une procédure de sauvegarde
303121875,2020-11-23,Jugement d'ouverture d'une procédure de sauvegarde
303149959,2017-02-07,Jugement d'ouverture d'une procédure de redressement judiciaire
303157283,2017-05-11,Jugement d'ouverture de liquidation judiciaire
303160485,2019-12-03,Jugement d'ouverture d'une procédure de redressement judiciaire
303160626,2020-01-07,Jugement d'ouverture d'une procédure de sauvegarde
303161814,2016-11-22,Autre jugement d'ouverture
303191944,2017-12-05,Jugement d'ouverture d'une procédure de redressement judiciaire
303192959,2017-05-17,Jugement d'ouverture de liquidation judiciaire
303196190,2018-06-20,Jugement d'ouverture d'une procédure de redressement judiciaire
303196216,2019-01-10,Jugement d'ouverture d'une procédure de redressement judiciaire
303215446,2018-10-15,Jugement d'ouverture de liquidation judiciaire
303217632,2020-05-12,Jugement d'ouverture d'une procédure de sauvegarde
303252449,2018-09-12,Jugement d'ouverture de liquidation judiciaire
303263321,2021-12-09,Jugement d'ouverture de liquidation judiciaire
303263826,2020-04-23,Jugement d'ouverture de liquidation judiciaire
303302210,2019-04-29,Jugement d'ouverture d'une procédure de redressement judiciaire
303322937,2020-02-04,Jugement d'ouverture de liquidation judiciaire
303334403,2019-03-04,Jugement d'ouverture de liquidation judiciaire
303338123,2019-06-03,Jugement d'ouverture de liquidation judiciaire
303354773,2018-02-07,Jugement d'ouverture de liquidation judiciaire
303376990,2018-07-02,Jugement d'ouverture d'une procédure de redressement judiciaire
303434518,2017-10-05,Jugement d'ouverture d'une procédure de redressement judiciaire
303434799,2018-05-07,Jugement d'ouverture d'une procédure de redressement judiciaire
303447395,2018-08-02,Jugement d'ouverture de liquidation judiciaire
303449524,2017-03-01,Jugement d'ouverture de liquidation judiciaire
303467062,2019-05-23,Jugement d'ouverture de liquidation judiciaire
303469035,2020-01-27,Jugement d'ouverture d'une procédure de redressement judiciaire
303525695,2019-04-18,Jugement d'ouverture de liquidation judiciaire
303526487,2020-03-18,Jugement d'ouverture d'une procédure de redressement judiciaire
303544415,2019-03-29,Jugement d'ouverture d'une procédure de sauvegarde
303567929,2017-05-17,Jugement d'ouverture d'une procédure de redressement judiciaire
303573695,2017-01-04,Jugement d'ouverture de liquidation judiciaire
303575971,2019-02-12,Jugement d'ouverture de liquidation judiciaire
303588545,2019-03-22,Jugement d'ouverture de liquidation judiciaire
303600050,2017-08-16,Jugement d'ouverture de liquidation judiciaire
303634257,2019-09-03,Jugement d'ouverture de liquidation judiciaire
303644306,2017-11-15,Jugement d'ouverture de liquidation judiciaire
303645477,2018-11-14,Jugement d'ouverture de liquidation judiciaire
303649529,2018-03-23,Jugement d'ouverture d'une procédure de redressement judiciaire
303656458,2018-06-25,Jugement d'ouverture d'une procédure de redressement judiciaire
303663462,2018-06-27,Jugement d'ouverture d'une procédure de sauvegarde
303680342,2020-07-28,Jugement d'ouverture de liquidation judiciaire
303687982,2019-07-04,Jugement d'ouverture d'une procédure de redressement judiciaire
303689293,2018-05-30,Jugement d'ouverture d'une procédure de redressement judiciaire
303689624,2019-06-17,Jugement d'ouverture de liquidation judiciaire
303699490,2019-05-03,Jugement d'ouverture d'une procédure de redressement judiciaire
303708382,2019-12-17,Jugement d'ouverture de liquidation judiciaire
303721393,2017-11-15,Jugement d'ouverture d'une procédure de redressement judiciaire
303732291,2017-09-06,Jugement d'ouverture d'une procédure de redressement judiciaire
303741128,2020-07-31,Jugement d'ouverture de liquidation judiciaire
303752919,2020-03-02,Jugement d'ouverture d'une procédure de redressement judiciaire
303754113,2020-01-14,Jugement d'ouverture de liquidation judiciaire
303773337,2021-10-20,Jugement d'ouverture de liquidation judiciaire
303782692,2020-02-25,Jugement d'ouverture de liquidation judiciaire
303788418,2017-06-12,Jugement d'ouverture d'une procédure de redressement judiciaire
303793004,2019-04-24,Jugement d'ouverture d'une procédure de redressement judiciaire
303816136,2020-11-16,Jugement d'ouverture d'une procédure de sauvegarde
303858492,2020-10-20,Jugement d'ouverture de liquidation judiciaire
303878714,2018-07-26,Jugement d'ouverture de liquidation judiciaire
303891014,2018-06-26,Jugement d'ouverture d'une procédure de redressement judiciaire
303915995,2018-01-10,Jugement d'ouverture de liquidation judiciaire
303937072,2018-11-30,Jugement d'ouverture d'une procédure de redressement judiciaire
303987119,2019-07-01,Jugement d'ouverture de liquidation judiciaire
304010176,2019-10-30,Jugement d'ouverture d'une procédure de redressement judiciaire
304010200,2019-09-18,Jugement d'ouverture d'une procédure de redressement judiciaire
304012255,2019-10-07,Jugement d'ouverture d'une procédure de redressement judiciaire
304012818,2019-10-22,Jugement d'ouverture d'une procédure de redressement judiciaire
304043847,2018-02-07,Jugement d'ouverture de liquidation judiciaire
304050354,2019-05-23,Jugement d'ouverture de liquidation judiciaire
304053085,2018-05-02,Jugement d'ouverture de liquidation judiciaire
304054752,2018-05-07,Jugement d'ouverture de liquidation judiciaire
304056716,2017-10-02,Jugement d'ouverture de liquidation judiciaire
304094923,2017-10-06,Autre jugement d'ouverture
304099989,2019-09-19,Jugement d'ouverture de liquidation judiciaire
304100332,2018-01-08,Jugement d'ouverture d'une procédure de redressement judiciaire
304140726,2018-08-27,Jugement d'ouverture de liquidation judiciaire
304141823,2017-08-03,Jugement d'ouverture de liquidation judiciaire
304188089,2018-12-05,Jugement d'ouverture d'une procédure de redressement judiciaire
304189087,2019-03-22,Jugement d'ouverture de liquidation judiciaire
304194251,2018-06-06,Jugement d'ouverture d'une procédure de redressement judiciaire
304233554,2017-06-20,Jugement d'ouverture d'une procédure de redressement judiciaire
304235039,2017-05-31,Jugement d'ouverture de liquidation judiciaire
